,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY,GENERAL PERCENT,,,,,,
920,IL,Illinois,6,H6IL06117,(I),Peter J.,Roskam,,R,"67,14%",,,,,,
921,IL,Illinois,6,n/a,,,,,R,,,,,,,
922,IL,Illinois,6,H4IL06104,,Michael,Mason,"Mason, Michael",D,"32,86%",,,,,,
923,IL,Illinois,6,n/a,,,,,D,,,,,,,
924,IL,Illinois,6,n/a,,,,,,,,,,,,
925,IL,Illinois,7,H4IL07037,(I),Danny K.,Davis,"Davis, Danny K.",D,"85,10%",,,,,,
926,IL,Illinois,7,n/a,,,,,D,,,,,,,
927,IL,Illinois,7,H4IL07151,,Robert L.,Bumpers,,R,"14,90%",,,,,,
928,IL,Illinois,7,n/a,,,,,R,,,,,,,
929,IL,Illinois,7,n/a,,,,,,,,,,,,
930,IL,Illinois,8,H6IL06141,(I),Tammy,Duckworth,,D,"55,73%",,,,,,
931,IL,Illinois,8,n/a,,,,,D,,,,,,,
932,IL,Illinois,8,H4IL08126,,Larry,Kaifesh,"Kaifesh, Larry",R,"44,27%",,,,,,
933,IL,Illinois,8,H4IL08118,,Manju,Goel,"Goel, Manju",R,,,,,,,
934,IL,Illinois,8,n/a,,,,,R,,,,,,,
935,IL,Illinois,8,n/a,,,,,,,,,,,,
936,IL,Illinois,9,H8IL09067,(I),Janice D.,Schakowsky,,D,"66,06%",,,,,,
937,IL,Illinois,9,n/a,,,,,D,,,,,,,
938,IL,Illinois,9,H0IL09080,,Susanne,Atanus,"Atanus, Susanne",R,"33,91%",,,,,,
939,IL,Illinois,9,H4IL09074,,"David Earl, III",Williams,"Williams, David Earl, III",R,,,,,,,
940,IL,Illinois,9,n/a,,,,,R,,,,,,,
941,IL,Illinois,9,H6IL10127,,Phil,Collins,,W,"0,03%",,,,,,
942,IL,Illinois,9,n/a,,,,,,,,,,,,
943,IL,Illinois,10,H0IL10302,,Robert,Dold,"Dold, Robert",R,"51,30%",,,,,,
944,IL,Illinois,10,n/a,,,,,R,,,,,,,
945,IL,Illinois,10,H2IL10068,(I),Brad,Schneider,"Schneider, Brad",D,"48,70%",,,,,,
946,IL,Illinois,10,n/a,,,,,D,,,,,,,
947,IL,Illinois,10,n/a,,,,,,,,,,,,
948,IL,Illinois,,n/a,,,,,,,,,,,,
949,IL,Illinois,11,H8IL14067,(I),Bill,Foster,"Foster, Bill ",D,"53,46%",,,,,,
950,IL,Illinois,11,n/a,,,,,D,,,,,,,
951,IL,Illinois,11,H4IL11195,,Darlene,Senger,"Senger, Darlene",R,"46,54%",,,,,,
952,IL,Illinois,11,H4IL11203,,Chris,Balkema,"Balkema, Chris ",R,,,,,,,
953,IL,Illinois,11,H4IL11237,,Bert,Miller,"Miller, Bert",R,,,,,,,
954,IL,Illinois,11,H4IL11211,,Ian,Bayne,"Bayne, Ian",R,,,,,,,
955,IL,Illinois,11,n/a,,,,,R,,,,,,,
956,IL,Illinois,11,H6IL18146,,"Constant ""Connor""",Vlakancic,"Vlakancic, Constant ""Connor""",W,,,,,,,
957,IL,Illinois,11,n/a,,,,,,,,,,,,
958,IL,Illinois,,n/a,,,,,,,,,,,,
959,IL,Illinois,12,H4IL12060,,Mike,Bost,"Bost, Mike",R,"52,46%",,,,,,
960,IL,Illinois,12,n/a,,,,,R,,,,,,,
961,IL,Illinois,12,H2IL12122,(I),"William L. ""Bill"" ",Enyart,"Enyart, William L. ""Bill"" ",D,"41,89%",,,,,,
962,IL,Illinois,12,n/a,,,,,D,,,,,,,
963,IL,Illinois,12,H2IL12130,,Paula,Bradshaw,,GRE,"5,65%",,,,,,
964,IL,Illinois,12,n/a,,,,,GRE,,,,,,,
965,IL,Illinois,12,n/a,,,,,,,,,,,,
966,IL,Illinois,13,H2IL13120,(I),Rodney,Davis,"Davis, Rodney",R,"58,66%",,,,,,
967,IL,Illinois,13,H4IL13191,,Erika,Harold,"Harold, Erika ",R,,,,,,,
968,IL,Illinois,13,H0IL19048,,Michael,Firsching,"Firsching, Michael ",R,,,,,,,
969,IL,Illinois,13,n/a,,,,,R,,,,,,,
970,IL,Illinois,13,H4IL13175,,Ann E.,Callis,"Callis, Ann E.",D,"41,34%",,,,,,
971,IL,Illinois,13,H4IL13209,,George,Gollin,"Gollin, George",D,,,,,,,
972,IL,Illinois,13,H4IL13217,,David L.,Green,"Green, David L.",D,,,,,,,
973,IL,Illinois,13,n/a,,,,,D,,,,,,,
974,IL,Illinois,13,n/a,,,,,,,,,,,,
975,IL,Illinois,14,H0IL14080,(I),"Randall M. ""Randy"" ",Hultgren,,R,"65,41%",,,,,,
976,IL,Illinois,14,n/a,,,,,R,,,,,,,
977,IL,Illinois,14,H2IL14078,,Dennis,Anderson,"Anderson, Dennis",D,"34,59%",,,,,,
978,IL,Illinois,14,H4IL14124,,John J.,Hosta,"Hosta, John J.",D,,,,,,,
979,IL,Illinois,14,n/a,,,,,D,,,,,,,
980,IL,Illinois,14,n/a,,,,,,,,,,,,
981,IL,Illinois,15,H2IL20042,(I),John M.,Shimkus,"Shimkus, John M.",R,"74,92%",,,,,,
982,IL,Illinois,15,n/a,,,,,R,,,,,,,
983,IL,Illinois,15,H4IL15071,,Eric,Thorsland,,D,"25,08%",,,,,,
984,IL,Illinois,15,n/a,,,,,D,,,,,,,
985,IL,Illinois,15,n/a,,,,,,,,,,,,
986,IL,Illinois,16,H0IL11052,(I),Adam,Kinzinger,"Kinzinger, Adam ",R,"70,62%",,,,,,
987,IL,Illinois,16,H4IL16020,,"David J., Jr.",Hale,"Hale, David J., Jr.",R,,,,,,,
988,IL,Illinois,16,n/a,,,,,R,,,,,,,
989,IL,Illinois,16,H4IL00032,,Randall Wayne,Olsen,"Olsen, Randall Wayne ",D,"29,38%",,,,,,
990,IL,Illinois,16,n/a,,,,,D,,,,,,,
991,IL,Illinois,16,n/a,,,,,,,,,,,,
992,IL,Illinois,17,H2IL17071,(I),Cheri,Bustos,"Bustos, Cheri ",D,"55,46%",,,,,,
993,IL,Illinois,17,n/a,,,,,D,,,,,,,
994,IL,Illinois,17,H0IL17059,,Bobby,Schilling,"Schilling, Bobby",R,"44,53%",,,,,,
995,IL,Illinois,17,n/a,,,,,R,,,,,,,
996,IL,Illinois,17,H4IL17077,,Bill,Fawell,"Fawell, Bill",W,"0,01%",,,,,,
997,IL,Illinois,17,n/a,,,,,,,,,,,,
998,IL,Illinois,,n/a,,,,,,,,,,,,
999,IL,Illinois,18,H8IL18043,(I),Aaron,Schock,,R,"74,72%",,,,,,
1000,IL,Illinois,18,n/a,,,,,R,,,,,,,
1001,IL,Illinois,18,H4IL18117,,Darrel,Miller,"Miller, Darrel",D,"25,28%",,,,,,
1002,IL,Illinois,18,H4IL18109,,Rob,Mellon,"Mellon, Rob ",D,,,,,,,
1003,IL,Illinois,18,n/a,,,,,D,,,,,,,
1004,IL,Illinois,18,n/a,,,,,,,,,,,,
1005,IL,Illinois,H,n/a,,,,,,,,,,,,
1006,IL,Illinois,,n/a,,,,,,,,,,,,
1007,,,,n/a,,,,,,,,,,,,
1008,IN,Indiana,1,H4IN01012,(I),Peter J.,Visclosky,,D,"60,85%",,,,,,
1009,IN,Indiana,1,n/a,,,,,D,,,,,,,
1010,IN,Indiana,1,H8IN01096,,Mark,Leyva,"Leyva, Mark ",R,"35,84%",,,,,,
1011,IN,Indiana,1,n/a,,,,,R,,,,,,,
1012,IN,Indiana,1,H4IN01152,,Donna T.,Dunn,"Dunn, Donna T.",LIB,"3,31%",,,,,,
1013,IN,Indiana,1,n/a,,,,,,,,,,,,
1014,IN,Indiana,,n/a,,,,,,,,,,,,
1015,IN,Indiana,2,H0IN02190,(I),Jackie,Walorski,"Walorski, Jackie",R,"58,94%",,,,,,
1016,IN,Indiana,2,n/a,,,,,R,,,,,,,
1017,IN,Indiana,2,H4IN02135,,Joe,Bock,"Bock, Joe",D,"38,29%",,,,,,
1018,IN,Indiana,2,H2IN02238,,Dan,Morrison,"Morrison, Dan",D,,,,,,,
1019,IN,Indiana,2,H4IN02143,,Bob,Kern,"Kern, Bob",D,,,,,,,
1020,IN,Indiana,2,H4IN02150,,Douglas M.,Carpenter,"Carpenter, Douglas M.",D,,,,,,,
1021,IN,Indiana,2,n/a,,,,,D,,,,,,,
1022,IN,Indiana,2,H4IN02168,,Jeff,Petermann,"Petermann, Jeff",LIB,"2,77%",,,,,,
1023,IN,Indiana,2,n/a,,,,,,,,,,,,
1024,IN,Indiana,,n/a,,,,,,,,,,,,
1025,IN,Indiana,3,H0IN03198,(I),Marlin A.,Stutzman,"Stutzman, Marlin A.",R,"69,15%",,,,,,
1026,IN,Indiana,3,H4IN03117,,Mark William,Baringer,"Baringer, Mark William",R,,,,,,,
1027,IN,Indiana,3,H4IN03109,,"James (Jim) E., III",Mahoney,"Mahoney, James (Jim) E., III",R,,,,,,,
1028,IN,Indiana,3,n/a,,,,,R,,,,,,,
1029,IN,Indiana,3,H2IN03152,,Justin,Kuhnle,"Kuhnle, Justin ",D,"26,73%",,,,,,
1030,IN,Indiana,3,H6IN03187,,Tommy A.,Schrader,"Schrader, Tommy A.",D,,,,,,,
1031,IN,Indiana,3,H4IN03091,,Jim,Redmond,"Redmond, Jim ",D,,,,,,,
1032,IN,Indiana,3,n/a,,,,,D,,,,,,,
1033,IN,Indiana,3,H8IN03068,,Scott,Wise,"Wise, Scott",LIB,"4,12%",,,,,,
1034,IN,Indiana,3,n/a,,,,,,,,,,,,
1035,IN,Indiana,,n/a,,,,,,,,,,,,
1036,IN,Indiana,4,H0IN04170,(I),Todd,Rokita,"Rokita, Todd",R,"66,87%",,,,,,
1037,IN,Indiana,4,H4IN04180,,Kevin J.,Grant,"Grant, Kevin J. ",R,,,,,,,
1038,IN,Indiana,4,n/a,,,,,R,,,,,,,
1039,IN,Indiana,4,H4IN04172,,John,Dale,"Dale, John ",D,"33,13%",,,,,,
1040,IN,Indiana,4,H4IN04230,,Roger D.,Day,,D,,,,,,,
1041,IN,Indiana,4,H4IN04214,,Jeffery Oliver,Blaydes,,D,,,,,,,
1042,IN,Indiana,4,H4IN04206,,Howard Joseph,Pollchik,"Pollchik, Howard Joseph ",D,,,,,,,
1043,IN,Indiana,4,H4IN04222,,John L.,Futrell,,D,,,,,,,
1044,IN,Indiana,4,n/a,,,,,D,,,,,,,
1045,IN,Indiana,4,n/a,,,,,,,,,,,,
1046,IN,Indiana,,n/a,,,,,,,,,,,,
1047,IN,Indiana,5,H2IN05082,(I),Susan,Brooks,"Brooks, Susan ",R,"65,21%",,,,,,
1048,IN,Indiana,5,H4IN05104,,David S.,Stockdale,"Stockdale, David S. ",R,,,,,,,
1049,IN,Indiana,5,H4IN05146,,David M. (Mike),Campbell,"Campbell, David M. (Mike)",R,,,,,,,
1050,IN,Indiana,5,n/a,,,,,R,,,,,,,
1051,IN,Indiana,5,H4IN05120,,Shawn A.,Denney,"Denney, Shawn A.",D,"30,82%",,,,,,
1052,IN,Indiana,5,H4IN05138,,David William,Ford,,D,,,,,,,
1053,IN,Indiana,5,H4IN05112,,Allen Ray,Davidson,"Davidson, Allen Ray ",D,,,,,,,
1054,IN,Indiana,5,n/a,,,,,D,,,,,,,
1055,IN,Indiana,5,H4IN05153,,John,Krom,"Krom, John",LIB,"3,97%",,,,,,
1056,IN,Indiana,5,n/a,,,,,,,,,,,,
1057,IN,Indiana,5,n/a,,,,,,,,,,,,
1058,IN,Indiana,,n/a,,,,,,,,,,,,
1059,IN,Indiana,6,H0IN02125,(I),Luke,Messer,"Messer, Luke",R,"65,90%",,,,,,
1060,IN,Indiana,6,n/a,,,,,R,,,,,,,
1061,IN,Indiana,6,H2IN06239,,Susan Hall,Heitzman,,D,"29,35%",,,,,,
1062,IN,Indiana,6,H2IN06189,,Lane,Siekman,,D,,,,,,,
1063,IN,Indiana,6,H4IN06102,,Corinne Nicole,Westerfield,"Westerfield, Corinne Nicole",D,,,,,,,
1064,IN,Indiana,6,n/a,,,,,D,,,,,,,
1065,IN,Indiana,6,H4IN06110,,Eric,Miller,"Miller, Eric",LIB,"4,76%",,,,,,
1066,IN,Indiana,6,n/a,,,,,,,,,,,,
1067,IN,Indiana,,n/a,,,,,,,,,,,,
1068,IN,Indiana,7,H8IN07184,(I),Andrﾎ,Carson,"Carson, Andrﾎ ",D,"54,73%",,,,,,
1069,IN,Indiana,7,H4IN07159,,Curtis,Godfrey,"Godfrey, Curtis",D,,,,,,,
1070,IN,Indiana,7,H6IN10174,,Mmoja,Ajabu,"Ajabu, Mmoja",D,,,,,,,
1071,IN,Indiana,7,H6IN07337,,Pierre Quincy,Pullins,"Pullins, Pierre Quincy",D,,,,,,,
1072,IN,Indiana,7,n/a,,,,,D,,,,,,,
1073,IN,Indiana,7,H8IN07259,,Catherine (Cat),Ping,"Ping, Catherine (Cat)",R,"41,77%",,,,,,
1074,IN,Indiana,7,H8IN07150,,"Wayne ""Gunny""",Harmon,"Harmon, Wayne ""Gunny""",R,,,,,,,
1075,IN,Indiana,7,H2IN07096,,J D,Miniear,"Miniear, J D ",R,,,,,,,
1076,IN,Indiana,7,H4IN07142,,Gordon,Smith,,R,,,,,,,
1077,IN,Indiana,7,H4IN07175,,Erin Kent,Magee,"Magee, Erin Kent",R,,,,,,,
1078,IN,Indiana,7,n/a,,,,,R,,,,,,,
1079,IN,Indiana,7,H4IN07183,,Chris,Mayo,"Mayo, Chris",LIB,"3,50%",,,,,,
1080,IN,Indiana,7,n/a,,,,,,,,,,,,
1081,IN,Indiana,,n/a,,,,,,,,,,,,
1082,IN,Indiana,8,H0IN08114,(I),Larry D.,Bucshon,"Bucshon, Larry D.",R,"60,32%",,,,,,
1083,IN,Indiana,8,H4IN08199,,Andrew T.,McNeil,,R,,,,,,,
1084,IN,Indiana,8,n/a,,,,,R,,,,,,,
1085,IN,Indiana,8,H4IN08207,,Tom,Spangler,"Spangler, Tom ",D,"35,83%",,,,,,
1086,IN,Indiana,8,n/a,,,,,D,,,,,,,
1087,IN,Indiana,8,H2IN07088,,Andrew,Horning,"Horning, Andrew",LIB,"3,84%",,,,,,
1088,IN,Indiana,8,n/a,,,,,,,,,,,,
1089,IN,Indiana,,n/a,,,,,,,,,,,,
1090,IN,Indiana,9,H0IN09070,(I),Todd,Young,"Young, Todd",R,"62,56%",,,,,,
1091,IN,Indiana,9,H4IN09106,,Kathy Lowe,Heil,"Heil, Kathy Lowe ",R,,,,,,,
1092,IN,Indiana,9,H4IN09114,,Mark G.,Jones,"Jones, Mark G.",R,,,,,,,
1093,IN,Indiana,9,n/a,,,,,R,,,,,,,
1094,IN,Indiana,9,H4IN09072,,Bill,Bailey,"Bailey, Bill",D,"33,88%",,,,,,
1095,IN,Indiana,9,H0IN09104,,"James R., Jr.",McClure,"McClure, James R., Jr.",D,,,,,,,
1096,IN,Indiana,9,H4IN09080,,J. S.,Miller,"Miller, J. S. ",D,,,,,,,
1097,IN,Indiana,9,H4IN09098,,William Joseph (Billy),Thomas,"Thomas, William Joseph (Billy)",D,,,,,,,
1098,IN,Indiana,9,n/a,,,,,D,,,,,,,
1099,IN,Indiana,9,H4IN09130,,R. Mike,Frey,"Frey, R. Mike",LIB,"3,56%",,,,,,
1100,IN,Indiana,9,n/a,,,,,,,,,,,,
1101,IN,Indiana,,n/a,,,,,,,,,,,,
1102,IN,Indiana,H,n/a,,,,,,,,,,,,
1103,IN,Indiana,,n/a,,,,,,,,,,,,
1104,,,,n/a,,,,,,,,,,,,
1105,IA,Iowa,1,H2IA01055,,Rod,Blum,"Blum, Rod",R,"51,07%",,,,,,
1106,IA,Iowa,1,H0IA02099,,Steve,Rathje,"Rathje, Steve ",R,,,,,,,
1107,IA,Iowa,1,H2IA04091,,Gail E.,Boliver,"Boliver, Gail E.",R,,,,,,,
1108,IA,Iowa,1,n/a,,,Scattered,Scattered,W(R),,,,,,,
1109,IA,Iowa,1,n/a,,,,,R,,,,,,,
1110,IA,Iowa,1,H4IA01069,,Pat,Murphy,"Murphy, Pat",D,"48,79%",,,,,,
1111,IA,Iowa,1,H4IA01077,,Monica,Vernon,"Vernon, Monica",D,,,,,,,
1112,IA,Iowa,1,H4IA01093,,Swati,Dandekar,"Dandekar, Swati",D,,,,,,,
1113,IA,Iowa,1,H4IA01101,,Anesa,Kajtazovic,"Kajtazovic, Anesa ",D,,,,,,,
1114,IA,Iowa,1,H4IA01085,,Dave,O'Brien,"O'Brien, Dave ",D,,,,,,,
1115,IA,Iowa,1,n/a,,,Scattered,Scattered,W(D),,,,,,,
1116,IA,Iowa,1,n/a,,,,,D,,,,,,,
1117,IA,Iowa,1,n/a,,,Scattered,Scattered,W,"0,14%",,,,,,
1118,IA,Iowa,1,n/a,,,,,,,,,,,,
1119,IA,Iowa,,n/a,,,,,,,,,,,,
1120,IA,Iowa,2,H6IA02146,(I),Dave,Loebsack,"Loebsack, Dave",D,"52,48%",,,,,,
1121,IA,Iowa,2,n/a,,,Scattered,Scattered,W(D),,,,,,,
1122,IA,Iowa,2,n/a,,,,,D,,,,,,,
1123,IA,Iowa,2,H8IA02043,,Mariannette,Miller-Meeks,,R,"47,36%",,,,,,
1124,IA,Iowa,2,H4IA02042,,Mark S.,Lofgren,"Lofgren, Mark S.",R,,,,,,,
1125,IA,Iowa,2,H4IA02059,,Matthew C.,Waldren,"Waldren, Matthew C.",R,,,,,,,
1126,IA,Iowa,2,n/a,,,Scattered,,W(R),,,,,,,
1127,IA,Iowa,2,n/a,,,,,R,,,,,,,
1128,IA,Iowa,2,n/a,,,Scattered,,W,"0,16%",,,,,,
1129,IA,Iowa,2,n/a,,,,,,,,,,,,
1130,IA,Iowa,,n/a,,,,,,,,,,,,
1131,IA,Iowa,3,H4IA03115,,David,Young,"Young, David",R,"52,76%",,,,,,
1132,IA,Iowa,3,H0IA03139,,Brad,Zaun,"Zaun, Brad",R,,,,,,,
1133,IA,Iowa,3,H4IA03099,,Robert,Cramer,"Cramer, Robert ",R,,,,,,,
1134,IA,Iowa,3,H4IA03081,,Matt,Schultz,,R,,,,,,,
1135,IA,Iowa,3,H4IA03107,,Monte,Shaw,"Shaw, Monte",R,,,,,,,
1136,IA,Iowa,3,H4IA03123,,Joe,Grandanette,"Grandanette, Joe",R,,,,,,,
1137,IA,Iowa,3,n/a,,,Scattered,Scattered,W(R),,,,,,,
1138,IA,Iowa,3,n/a,,,,,R,,,,,,,
1139,IA,Iowa,3,H4IA03065,,Staci,Appel,"Appel, Staci",D,"42,23%",,,,,,
1140,IA,Iowa,3,n/a,,,Scattered,Scattered,W(D),,,,,,,
1141,IA,Iowa,3,n/a,,,,,D,,,,,,,
1142,IA,Iowa,3,H4IA03131,,Edward B.,Wright,"Wright, Edward B.",LIB,"3,21%",,,,,,
1143,IA,Iowa,3,H4IA03149,,Bryan Jack,Holder,"Holder, Bryan Jack",NNE,"1,55%",,,,,,
1144,IA,Iowa,3,n/a,,,,,,,,,,,,
1145,IA,Iowa,3,n/a,,,Scattered,Scattered,W,"0,26%",,,,,,
1146,IA,Iowa,3,n/a,,,,,,,,,,,,
1147,IA,Iowa,4,H2IA05072,(I),Steve,King,"King, Steve ",R,"61,62%",,,,,,
1148,IA,Iowa,4,n/a,,,Scattered,Scattered,W(R),,,,,,,
1149,IA,Iowa,4,n/a,,,,,R,,,,,,,
1150,IA,Iowa,4,H4IA04113,,Jim,Mowrer,"Mowrer, Jim",D,"38,28%",,,,,,
1151,IA,Iowa,4,n/a,,,Scattered,,W(D),,,,,,,
1152,IA,Iowa,4,n/a,,,,,D,,,,,,,
1153,IA,Iowa,4,n/a,,,Scattered,Scattered,W,"0,11%",,,,,,
1154,IA,Iowa,4,n/a,,,,,,,,,,,,
1155,IA,Iowa,H,n/a,,,,,,,,,,,,
1156,IA,Iowa,,n/a,,,,,,,,,,,,
1157,,,,n/a,,,,,,,,,,,,
1158,KS,Kansas,1,H6KS01146,(I),Tim,Huelskamp,"Huelskamp, Tim",R�,"67,97%",,,,,,
1159,KS,Kansas,1,H4KS01059,,Alan,LaPolice,"LaPolice, Alan",R�,,,,,,,
1160,KS,Kansas,1,n/a,,,,,R,,,,,,,
1161,KS,Kansas,1,H4KS01075,,James E.,Sherow,"Sherow, James E.",D,"32,03%",,,,,,
1162,KS,Kansas,1,H4KS01042,,Bryan R.,Whitney,,D,,,,,,,
1163,KS,Kansas,1,n/a,,,,,D,,,,,,,
1164,KS,Kansas,1,n/a,,,,,,,,,,,,
1165,KS,Kansas,2,H8KS02090,(I),Lynn,Jenkins,"Jenkins, Lynn",R�,"57,04%",,,,,,
1166,KS,Kansas,2,H4KS02131,,Joshua Joel,Tucker,"Tucker, Joshua Joel",R�,,,,,,,
1167,KS,Kansas,2,n/a,,,,,R,,,,,,,
1168,KS,Kansas,2,H4KS02115,,Margie,Wakefield,,D,"38,62%",,,,,,
1169,KS,Kansas,2,n/a,,,,,D,,,,,,,
1170,KS,Kansas,2,H4KS02123,,Christopher,Clemmons,"Clemmons, Christopher",LIB,"4,34%",,,,,,
1171,KS,Kansas,2,n/a,,,,,,,,,,,,
1172,KS,Kansas,3,H0KS03137,(I),Kevin,Yoder,,R�,"60,02%",,,,,,
1173,KS,Kansas,3,n/a,,,,,R,,,,,,,
1174,KS,Kansas,3,H4KS03188,,Kelly,Kultala,"Kultala, Kelly",D,"39,98%",,,,,,
1175,KS,Kansas,3,H4KS03170,,Reginald (Reggie),Marselus,"Marselus, Reginald (Reggie)",D,,,,,,,
1176,KS,Kansas,3,n/a,,,,,D,,,,,,,
1177,KS,Kansas,3,n/a,,,,,,,,,,,,
1178,KS,Kansas,4,H0KS04051,(I),Mike,Pompeo,"Pompeo, Mike",R,"66,66%",,,,,,
1179,KS,Kansas,4,H4KS04087,,Todd,Tiahrt,"Tiahrt, Todd",R,,,,,,,
1180,KS,Kansas,4,n/a,,,,,R,,,,,,,
1181,KS,Kansas,4,H4KS04111,,Perry L.,Schuckman,"Schuckman, Perry L.",D,"33,34%",,,,,,
1182,KS,Kansas,4,n/a,,,,,D,,,,,,,
1183,KS,Kansas,4,n/a,,,,,,,,,,,,
1184,KS,Kansas,H,n/a,,,,,,,,,,,,
1185,KS,Kansas,,n/a,,,,,,,,,,,,
1186,,,,n/a,,,,,,,,,,,,
1187,KY,Kentucky,1,H4KY01040,(I),Ed,Whitfield,"Whitfield, Ed",R,"73,12%",,,,,,
1188,KY,Kentucky,1,H4KY01016,,Charles Kendall,Hatchett,,D,"26,88%",,,,,,
1189,KY,Kentucky,1,H4KY01065,,Wesley Seaton,Bolin,"Bolin, Wesley Seaton",D,,,,,,,
1190,KY,Kentucky,1,n/a,,,,,D,,,,,,,
1191,KY,Kentucky,1,n/a,,,,,,,,,,,,
1192,KY,Kentucky,2,H8KY02031,(I),S. Brett,Guthrie,"Guthrie, S. Brett",R,"69,19%",,,,,,
1193,KY,Kentucky,2,H4KY02089,,Ron,Leach,"Leach, Ron",D,"30,81%",,,,,,
1194,KY,Kentucky,2,n/a,,,,,,,,,,,,
1195,KY,Kentucky,3,H6KY03124,(I),John A.,Yarmuth,"Yarmuth, John A.",D,"63,49%",,,,,,
1196,KY,Kentucky,3,H4KY03236,,E. Ray,Pierce,"Pierce, E. Ray",D,,,,,,,
1197,KY,Kentucky,3,n/a,,,,,D,,,,,,,
1198,KY,Kentucky,3,H4KY03210,,Michael,Macfarlane,"Macfarlane, Michael",R,"35,57%",,,,,,
1199,KY,Kentucky,3,H4KY03244,,Gregory Peter,Puccetti,"Puccetti, Gregory Peter",IND,"0,94%",,,,,,
1200,KY,Kentucky,3,n/a,,,,,,,,,,,,
1201,KY,Kentucky,4,H2KY04121,(I),Thomas,Massie,"Massie, Thomas",R,"67,73%",,,,,,
1202,KY,Kentucky,4,H8KY06065,,Peter,Newberry,"Newberry, Peter",D,"32,27%",,,,,,
1203,KY,Kentucky,4,n/a,,,,,,,,,,,,
1204,KY,Kentucky,5,H0KY05015,(I),"Harold ""Hal"" ",Rogers,"Rogers, Harold ""Hal"" ",R,"78,25%",,,,,,
1205,KY,Kentucky,5,H6KY05111,,Kenneth S.,Stepp,"Stepp, Kenneth S. ",D,"21,75%",,,,,,
1206,KY,Kentucky,5,H2KY05136,,Billy Ray,Wilson,"Wilson, Billy Ray",D,,,,,,,
1207,KY,Kentucky,5,n/a,,,,,D,,,,,,,
1208,KY,Kentucky,5,n/a,,,,,,,,,,,,
1209,KY,Kentucky,6,H0KY06104,(I),Andy,Barr,,R,"59,99%",,,,,,
1210,KY,Kentucky,6,H4KY06130,,Elisabeth,Jensen,"Jensen, Elisabeth",D,"40,01%",,,,,,
1211,KY,Kentucky,6,H4KY06163,,"Geoffrey M. ""Geoff""",Young,"Young, Geoffrey M. ""Geoff""",D,,,,,,,
1212,KY,Kentucky,6,n/a,,,,,D,,,,,,,
1213,KY,Kentucky,6,n/a,,,,,,,,,,,,
1214,KY,Kentucky,H,n/a,,,,,,,,,,,,
1215,,,,n/a,,,,,,,,,,,,
1216,LA,Louisiana,1,H0LA01087,(I),Steve,Scalise,"Scalise, Steve",R,"77,56%",,,,,,
1217,LA,Louisiana,1,H6LA02173,,"M.V. ""Vinny""",Mendoza,"Mendoza, M.V. ""Vinny""",D,"10,15%",,,,,,
1218,LA,Louisiana,1,H4LA01147,,Lee A.,Dugas,"Dugas, Lee A.",D,"8,72%",,,,,,
1219,LA,Louisiana,1,H4LA01139,,"Jeffry ""Jeff""",Sanford,"Sanford, Jeffry ""Jeff""",LIB,"3,57%",,,,,,
1220,LA,Louisiana,1,n/a,,,,,,,,,,,,
1221,LA,Louisiana,2,H8LA02054,(I),Cedric,Richmond,"Richmond, Cedric",D,"68,69%",,,,,,
1222,LA,Louisiana,2,H2LA02107,,Gary,Landrieu,"Landrieu, Gary",D,"17,06%",,,,,,
1223,LA,Louisiana,2,H4LA02103,,David,Brooks,,NPA,"7,37%",,,,,,
1224,LA,Louisiana,2,H4LA02087,,Samuel,Davenport,"Davenport, Samuel",LIB,"6,88%",,,,,,
1225,LA,Louisiana,2,n/a,,,,,,,,,,,,
1226,LA,Louisiana,3,H4LA07029,(I),"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",R,"78,67%",,,,,,
1227,LA,Louisiana,3,H4LA03119,,Russell,Richard,"Richard, Russell",NPA,"12,00%",,,,,,
1228,LA,Louisiana,3,H2LA03063,,Bryan,Barrilleaux,"Barrilleaux, Bryan",R,"9,34%",,,,,,
1229,LA,Louisiana,3,n/a,,,,,,,,,,,,
1230,LA,Louisiana,4,H8LA04225,(I),John,Fleming,"Fleming, John",R,"73,43%",,,,,,
1231,LA,Louisiana,4,H2LA04129,,Randall,Lord,,LIB,"26,57%",,,,,,
1232,LA,Louisiana,4,n/a,,,,,,,,,,,,
1233,LA,Louisiana,5,H4LA05221,,Ralph Lee,Abraham,"Abraham, Ralph Lee",R,"23,16%",,,,,,
1234,LA,Louisiana,5,H4LA05080,,"""Jamie""",Mayo,"Mayo, ""Jamie""",D,"28,22%",,,,,,
1235,LA,Louisiana,5,H4LA05247,,"""Zach""",Dasher,"Dasher, ""Zach""",R,"22,39%",,,,,,
1236,LA,Louisiana,5,H4AL05130,(I),Vance M.,McAllister,,R,"11,11%",,,,,,
1237,LA,Louisiana,5,H0LA08017,,Clyde C.,Holloway,"Holloway, Clyde C.",R,"7,46%",,,,,,
1238,LA,Louisiana,5,H4LA05239,,Harris,Brown,"Brown, Harris",R,"4,13%",,,,,,
1239,LA,Louisiana,5,H4LA05213,,"""Ed""",Tarpley,"Tarpley, ""Ed""",R,"1,92%",,,,,,
1240,LA,Louisiana,5,H4LA05262,,Charles,Saucier,"Saucier, Charles",LIB,"0,92%",,,,,,
